Season,WTeamID,LTeamID,WLoc,LLoc,WSeed,LSeed,SeedDiff,WCoach,LCoach,WLength,LLength,WSeason_ppg,LSeason_ppg,Season_ppg_diff,WSeason_ast,LSeason_ast,Season_ast_diff,WSeason_FGPercent,LSeason_FGPercent,Season_FGP_Diff,WSeason_FGPercent3,LSeason_FGPercent3,Season_FGP3_Diff,WSeason_FTPercent,LSeason_FTPercent,Season_FTP_Diff,WSeason_OR,WSeason_DR,LSeason_OR,LSeason_DR,Season_OR_diff,Season_DR_diff,WSeason_stl,LSeason_stl,Season_stl_diff,WSeason_blk,LSeason_blk,Season_blk_diff
2003,1104,1328,N,N,10.0,1,9.0,mark_gottfried,kelvin_sampson,33,33,74.7058823529,56.1666666667,18.5392156863,14.0,9.33333333333,4.66666666667,0.444393021997,0.361608790697,0.0827842312999,0.347418315857,0.306668391994,0.0407499238621,0.709384210153,0.686760049003,0.0226241611508,13.5294117647,26.4117647059,13.3333333333,22.5,0.196078431373,3.91176470588,7.23529411765,5.83333333333,1.40196078431,4.17647058824,3.5,0.676470588235
2003,1280,1328,N,N,5.0,1,4.0,rick_stansbury,kelvin_sampson,33,33,73.6666666667,56.1666666667,17.5,15.380952381,9.33333333333,6.04761904762,0.495356952115,0.361608790697,0.133748161418,0.361979662433,0.306668391994,0.0553112704385,0.662409432314,0.686760049003,-0.0243506166883,12.6666666667,26.380952381,13.3333333333,22.5,-0.666666666667,3.88095238095,9.28571428571,5.83333333333,3.45238095238,4.09523809524,3.5,0.595238095238
2003,1329,1328,H,A,6.0,1,5.0,eddie_sutton,kelvin_sampson,33,33,73.4,56.1666666667,17.2333333333,13.4,9.33333333333,4.06666666667,0.474798294354,0.361608790697,0.113189503657,0.382792885864,0.306668391994,0.0761244938692,0.631824716949,0.686760049003,-0.0549353320536,12.6,24.5,13.3333333333,22.5,-0.733333333333,2.0,9.65,5.83333333333,3.81666666667,5.75,3.5,2.25
2003,1400,1328,H,A,1.0,1,0.0,rick_barnes,kelvin_sampson,33,33,78.2272727273,56.1666666667,22.0606060606,14.5909090909,9.33333333333,5.25757575758,0.456126655977,0.361608790697,0.0945178652805,0.343126004351,0.306668391994,0.0364576123568,0.709202839766,0.686760049003,0.0224427907637,16.2272727273,26.6363636364,13.3333333333,22.5,2.89393939394,4.13636363636,6.95454545455,5.83333333333,1.12121212121,3.81818181818,3.5,0.318181818182
2003,1400,1328,A,H,1.0,1,0.0,rick_barnes,kelvin_sampson,33,33,78.2272727273,56.1666666667,22.0606060606,14.5909090909,9.33333333333,5.25757575758,0.456126655977,0.361608790697,0.0945178652805,0.343126004351,0.306668391994,0.0364576123568,0.709202839766,0.686760049003,0.0224427907637,16.2272727273,26.6363636364,13.3333333333,22.5,2.89393939394,4.13636363636,6.95454545455,5.83333333333,1.12121212121,3.81818181818,3.5,0.318181818182
2003,1281,1328,H,A,6.0,1,5.0,quin_snyder,kelvin_sampson,33,33,75.7142857143,56.1666666667,19.5476190476,15.2857142857,9.33333333333,5.95238095238,0.465359294957,0.361608790697,0.10375050426,0.383296766261,0.306668391994,0.0766283742663,0.678263007903,0.686760049003,-0.00849704109921,13.5238095238,27.2380952381,13.3333333333,22.5,0.190476190476,4.7380952381,6.19047619048,5.83333333333,0.357142857143,4.66666666667,3.5,1.16666666667
2003,1104,1462,H,A,10.0,3,7.0,mark_gottfried,thad_matta,33,33,74.7058823529,59.4,15.3058823529,14.0,11.6,2.4,0.444393021997,0.371728999292,0.0726640227047,0.347418315857,0.318333333333,0.0290849825232,0.709384210153,0.626245649775,0.0831385603784,13.5294117647,26.4117647059,13.6,24.4,-0.0705882352941,2.01176470588,7.23529411765,4.4,2.83529411765,4.17647058824,0.8,3.37647058824
2003,1280,1462,N,N,5.0,3,2.0,rick_stansbury,thad_matta,33,33,73.6666666667,59.4,14.2666666667,15.380952381,11.6,3.78095238095,0.495356952115,0.371728999292,0.123627952823,0.361979662433,0.318333333333,0.0436463290997,0.662409432314,0.626245649775,0.0361637825393,12.6666666667,26.380952381,13.6,24.4,-0.933333333333,1.98095238095,9.28571428571,4.4,4.88571428571,4.09523809524,0.8,3.29523809524
2003,1390,1462,H,A,4.0,3,1.0,mike_montgomery,thad_matta,33,33,74.4347826087,59.4,15.0347826087,15.5217391304,11.6,3.92173913043,0.463465667642,0.371728999292,0.0917366683501,0.393165100634,0.318333333333,0.0748317673002,0.669276574911,0.626245649775,0.043030925136,12.7826086957,25.7826086957,13.6,24.4,-0.817391304348,1.38260869565,5.95652173913,4.4,1.55652173913,3.52173913043,0.8,2.72173913043
2003,1350,1462,A,H,17.0,3,14.0,jerry_wainwright,thad_matta,33,33,72.0666666667,59.4,12.6666666667,13.8,11.6,2.2,0.463244603286,0.371728999292,0.091515603994,0.372922083426,0.318333333333,0.0545887500922,0.713181326177,0.626245649775,0.0869356764017,10.3333333333,24.0666666667,13.6,24.4,-3.26666666667,-0.333333333333,7.33333333333,4.4,2.93333333333,4.53333333333,0.8,3.73333333333
2003,1396,1462,N,N,17.0,3,14.0,john_chaney,thad_matta,33,33,74.7333333333,59.4,15.3333333333,12.0,11.6,0.4,0.43739352981,0.371728999292,0.0656645305181,0.360830363755,0.318333333333,0.0424970304221,0.679526107707,0.626245649775,0.0532804579322,13.9333333333,23.8666666667,13.6,24.4,0.333333333333,-0.533333333333,11.2666666667,4.4,6.86666666667,4.4,0.8,3.6
