AST,AST_Diff,BLK,BLK_Diff,Coach,DR,DR_Diff,FGP,FGP3,FGP3_Diff,FGP_Diff,FTP,FTP_Diff,Loc,OR,OR_Diff,OtherTeamID,PPG,PPG_Diff,Rank,Rank_Diff,Result,SEED_Diff,STL,STL_Diff,Season,Seed,TeamID
16.3076923077,3.55769230769,3.53846153846,1.03846153846,eddie_biedenbach,26.3846153846,5.71794871795,0.474168859664,0.401956164816,0.115756711546,0.067680810368,0.764885104015,0.180163651687,N,12.3076923077,-2.60897435897,1411,79.5384615385,13.5384615385,217.0,-31,1,0,8.61538461538,1.36538461538,2003,16,1421
14.4193548387,5.00268817204,3.64516129032,0.561827956989,sean_miller,26.9032258065,5.98655913978,0.493328971676,0.363163971586,0.133052066162,0.103467819463,0.708232679673,0.136005771338,N,10.8387096774,-1.57795698925,1411,77.3548387097,19.7715053763,118.0,-113,1,-13,7.32258064516,0.989247311828,2015,2,1112
14.4193548387,3.01935483871,3.64516129032,-1.55483870968,sean_miller,26.9032258065,5.90322580645,0.493328971676,0.363163971586,0.0779369503475,0.111221490636,0.708232679673,0.0614113528521,N,10.8387096774,-2.46129032258,1326,77.3548387097,16.0548387097,40.0,-35,1,-8,7.32258064516,0.622580645161,2015,2,1112
14.4193548387,-1.04218362283,3.64516129032,1.26054590571,sean_miller,26.9032258065,2.44168734491,0.493328971676,0.363163971586,0.0816294066766,0.0640418613209,0.708232679673,-0.0485524077795,N,10.8387096774,0.223325062035,1462,77.3548387097,6.97022332506,30.0,-25,1,-4,7.32258064516,1.86104218362,2015,2,1112
19.0,8.18181818182,3.07692307692,1.34965034965,roy_williams,28.3461538462,9.25524475524,0.48250656442,0.383159678822,0.111604469989,0.0829089189538,0.706172473236,0.0543768474922,N,16.4230769231,2.6958041958,1411,87.9615384615,17.9615384615,105.0,-100,1,-15,7.38461538462,2.11188811189,2017,1,1314
19.0,11.0,3.07692307692,1.07692307692,roy_williams,28.3461538462,2.34615384615,0.48250656442,0.383159678822,0.195659678822,0.0263662135431,0.706172473236,0.154448335305,N,16.4230769231,4.42307692308,1211,87.9615384615,16.9615384615,8.0,-3,1,0,7.38461538462,-0.615384615385,2017,1,1314
19.0,6.8,3.07692307692,-1.72307692308,roy_williams,28.3461538462,3.34615384615,0.48250656442,0.383159678822,0.0743718000341,0.0674075956484,0.706172473236,0.0470449988496,N,16.4230769231,5.82307692308,1246,87.9615384615,11.7615384615,4.0,1,1,-1,7.38461538462,1.18461538462,2017,1,1314
19.0,7.375,3.07692307692,1.07692307692,roy_williams,28.3461538462,9.34615384615,0.48250656442,0.383159678822,0.0659444184488,0.0420143664998,0.706172473236,-0.0425276318064,N,16.4230769231,6.54807692308,1139,87.9615384615,20.2115384615,15.0,-10,1,-3,7.38461538462,1.00961538462,2017,1,1314
19.0,9.0,3.07692307692,-1.92307692308,roy_williams,28.3461538462,5.74615384615,0.48250656442,0.383159678822,0.115550817095,0.0915653713237,0.706172473236,0.0371464992096,N,16.4230769231,4.22307692308,1332,87.9615384615,21.1615384615,9.0,-4,1,-2,7.38461538462,0.984615384615,2017,1,1314
19.0,9.22222222222,3.07692307692,-0.034188034188,roy_williams,28.3461538462,8.34615384615,0.48250656442,0.383159678822,0.0808448640071,0.06182537894,0.706172473236,-0.0451764775095,N,16.4230769231,5.31196581197,1116,87.9615384615,17.9615384615,28.0,-23,1,-7,7.38461538462,0.82905982906,2017,1,1314
